case_id,case_family_id,origin_country,origin_state,court_name,court_level,court_level_confidence,decision_date,case_number_or_citation,primary_domain,case_domain,liability_theories,secondary_tags,analysis_split,main_source_case_id,lower_court_supplemented,lower_court_case_ids,fact_sufficiency_score,neutral_fact_source_language,neutral_fact_source_chars,neutral_fact_ko_chars,neutral_fact_en_chars,jurisdiction_salience_level,jurisdiction_salience_tags,remedy_salience_level,legal_leakage_status,jurisdiction_leakage_status,translation_equivalence_status,source_grounding_status,final_eligible,raw_text_sha256,neutral_fact_source_sha256,neutral_fact_ko_sha256,neutral_fact_en_sha256
KR_29de6fa2d32993658e,FAM_952d449dd2084f16,KR,,대법원,supreme,high,2023-08-18,2022다291009,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_29de6fa2d32993658e,False,[],7,ko,578,578,578,low,[],low,pass,pass,pass,pass,True,db86501d8b792dd5adce32ee8a2576cd7235f5d81d051a9b426ae6a6efd441f8,5e819fb13da1cb1ed4983ca156ef1a0a2685035b3f0ad96656b448e409deebdc,5e819fb13da1cb1ed4983ca156ef1a0a2685035b3f0ad96656b448e409deebdc,5e819fb13da1cb1ed4983ca156ef1a0a2685035b3f0ad96656b448e409deebdc
KR_61112d3135e80de786,FAM_06d2f57a39a9d993,KR,,대법원,supreme,high,2009-12-24,2008다3640,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_61112d3135e80de786,False,[],6,ko,464,464,941,low,[],low,pass,pass,pass,pass,True,07b85eabf1591fbbe729627c93bef4390ea3012f586fb745126675842055f2a2,a28b748a9f2a9856fc4650e8ada2f879a2a9d5e11cd6355fd8c2de8aa0121dd1,a28b748a9f2a9856fc4650e8ada2f879a2a9d5e11cd6355fd8c2de8aa0121dd1,9964fe9332a6f6b409bb53b28e4d81945e49bd98dfb5b24697af2ddaf6ce3f31
KR_ce03d7157e09c4d242,FAM_d736712655c12360,KR,,대법원,supreme,high,2008-07-24,2007다37530,general_negligence_personal_injury,general_negligence_personal_injury,[],[],development,KR_ce03d7157e09c4d242,False,[],7,ko,644,644,1144,low,[],low,pass,pass,pass,pass,True,5fc1abb01a1a3c57a4e561ad086a998bae796f218cc8da0ae3b10340a2083762,72c115e5ac09fb42e2c3915277c07730ea1705ffe60f1fab4e9a8dadb5a54e1f,72c115e5ac09fb42e2c3915277c07730ea1705ffe60f1fab4e9a8dadb5a54e1f,9872a3738b9057307ab122089a04cdca8a46f2d5c0f73cec323a0070091f6b34
KR_bd5712bcc29293f8e7,FAM_0920c99356ecabe3,KR,,대법원,supreme,high,2023-03-30,2019다280481,general_negligence_personal_injury,general_negligence_personal_injury,[],[],development,KR_bd5712bcc29293f8e7,False,[],6,ko,1952,1952,4472,low,[],low,pass,pass,pass,pass,True,5fe5106f9ca233fac6cb43c7659c8ea126e8b487b5f56caecd89941cda98c220,bf2acc00b0a9d11b4b6c67e656f7a591c901556ba37688b87557dd2ecb3bca67,bf2acc00b0a9d11b4b6c67e656f7a591c901556ba37688b87557dd2ecb3bca67,ad961424e0fe08d7132cd725bc3f02b79daba7e98edd74815f000eb84ce9555f
KR_934df9d2f48650c256,FAM_84a3aa6428b408d4,KR,,대법원,supreme,high,2010-01-28,"2008다65686, 65693",general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_934df9d2f48650c256,False,[],7,ko,1538,1538,2998,low,[],low,pass,pass,pass,pass,True,f8c28113ba3c3dcc4a5330042fbf86f804eb0fd12a52dca5bd1588242ac78836,8981b7500653535fdf9a9df2d7e2f6dfaf8f42dda5d5229d6e5fc041a07d5f0a,8981b7500653535fdf9a9df2d7e2f6dfaf8f42dda5d5229d6e5fc041a07d5f0a,ece342de4fee1330448161ec7367f6b0b88778eeb4518450b8eea3d98730921c
KR_c7ec53e12d00dabce6,FAM_988fe08c072fd095,KR,,대법원,supreme,high,2008-04-17,2006다35865,general_negligence_personal_injury,general_negligence_personal_injury,"[""intentional_misconduct""]","[""intentional_misconduct""]",confirmatory,KR_c7ec53e12d00dabce6,False,[],7,ko,547,547,547,low,[],low,pass,pass,pass,pass,True,84d01d1b13df282ec743f431e081e6c3f50567b32710c91d22df43c700badd1a,478f5677d912960e93135cac8929a48bc2cf00a874a8adf04725f538cafd0876,478f5677d912960e93135cac8929a48bc2cf00a874a8adf04725f538cafd0876,478f5677d912960e93135cac8929a48bc2cf00a874a8adf04725f538cafd0876
KR_d9b3ee3b261df8b463,FAM_2f38cc9ccef6932c,KR,,대법원,supreme,high,2022-08-31,2018다212740,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_d9b3ee3b261df8b463,False,[],7,ko,691,691,1519,low,[],low,pass,pass,pass,pass,True,0c4d0abce1ce4bf290275564b2da8b96cccc7b73b44b2f115df43f6470764682,772a4fc0a07c6e04c7a4b00948de07c126ec6d0fdc22b8b141ec15ee66fbb5f4,772a4fc0a07c6e04c7a4b00948de07c126ec6d0fdc22b8b141ec15ee66fbb5f4,b100f4929c9aa63796857d95e01212c6dac397554874446f3f60fd181285f8f5
KR_7be1ae9174eea5f5f2,FAM_42ee09027c7d93e8,KR,,대법원,supreme,high,2005-09-29,2005다25755,general_negligence_personal_injury,general_negligence_personal_injury,"[""comparative_fault""]","[""comparative_fault""]",confirmatory,KR_7be1ae9174eea5f5f2,False,[],7,ko,510,510,922,low,[],low,pass,pass,pass,pass,True,091d04a8e49600da05baae8917d918682f93185e6513ec747fbea63fa11b8caf,ee07bfbfa2e42c4b77fff5263209001de15c13dfedaa0e99e9dee665733bc84b,ee07bfbfa2e42c4b77fff5263209001de15c13dfedaa0e99e9dee665733bc84b,634be174f8ece77d02ad046363913873ed413d6c82a96653655c0828c6babdf0
KR_ac6643f28f1a875a1b,FAM_54ea6fd1250341ef,KR,,대법원,supreme,high,2007-10-25,2005다23438,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_ac6643f28f1a875a1b,False,[],7,ko,684,684,1238,low,[],low,pass,pass,pass,pass,True,73520932b4b2626d1076574ca000e4787b6351cc3b11655a4ab507488fb6d0e4,d3e46c30e7e78b1fb5854e076589b679c245c7c1aab943560ce7da7c2579b57b,d3e46c30e7e78b1fb5854e076589b679c245c7c1aab943560ce7da7c2579b57b,74bf2b1a5168fe8efa38b83091cdc6a46342cb4e3f463d8609d2565e3de94bad
KR_21e5cc81eee32db79e,FAM_8583e7ba0ffcaaa5,KR,,대법원,supreme,high,2002-12-26,2002다50149,general_negligence_personal_injury,general_negligence_personal_injury,"[""comparative_fault""]","[""comparative_fault""]",development,KR_21e5cc81eee32db79e,False,[],6,ko,1047,1047,1084,low,[],low,pass,pass,pass,pass,True,f3f28fbf687aa40f256e1b3c64bc10b1a853772694a3bfdaf6b358901fac103f,a6c3fa80d190de1910261b4605c83e74954e7bc6f4543adbac7c28c447896977,a6c3fa80d190de1910261b4605c83e74954e7bc6f4543adbac7c28c447896977,750618cc5ea2f348b5501617d1dec14e2aee755728e491846f7fb9823edec109
KR_b24448d722a0190549,FAM_07aec9f1fad84959,KR,,대법원,supreme,high,2015-09-10,2013다73957,general_negligence_personal_injury,general_negligence_personal_injury,"[""wrongful_death""]","[""wrongful_death""]",confirmatory,KR_b24448d722a0190549,False,[],7,ko,1546,1546,3502,low,[],low,pass,pass,pass,pass,True,d428ff170724278199fd952119d27a2ceb2b781615aa786bcd0009bfc27e4c9f,b02446ca415e36fb766f29bce2d46b2d671c468329de212b72fd68c63aba836b,b02446ca415e36fb766f29bce2d46b2d671c468329de212b72fd68c63aba836b,b16cd86ad97fb7c68199bee2ef0fca5b1faa3cfbfc30309a29f1946b78cc3df3
KR_b7d634c2e03993e164,FAM_e1c83b3f584bff50,KR,,대법원,supreme,high,2007-06-15,2004다48775,general_negligence_personal_injury,general_negligence_personal_injury,"[""negligent_supervision"",""comparative_fault""]","[""negligent_supervision"",""comparative_fault""]",confirmatory,KR_b7d634c2e03993e164,False,[],7,ko,638,638,1389,low,[],low,pass,pass,pass,pass,True,50916ae5706c94bbabb632c1e168805ac4c8299f5a6ccec3130b31a6d74e72dd,fc9b2f9a81c1255aea352f548e5af4aa4ecb513d74248fe63337304e54116da4,fc9b2f9a81c1255aea352f548e5af4aa4ecb513d74248fe63337304e54116da4,9a4da515802ac9b4ea4452f61fef68916e945d019c3a5483eb2cebde5e34649b
KR_68e0deec401c3edd58,FAM_d327d178f6ed4a38,KR,,대법원,supreme,high,2007-09-06,2005다25021,general_negligence_personal_injury,general_negligence_personal_injury,"[""intentional_misconduct""]","[""intentional_misconduct""]",confirmatory,KR_68e0deec401c3edd58,False,[],7,ko,1085,1085,2178,low,[],low,pass,pass,pass,pass,True,be2aadfe98279f5ce0f3d5be55192e6cca2f3222f3d39d5add086ae011d08187,7d71fd03682c9258360db304c6931e5394c67282344215abbeabf97d35ee9605,7d71fd03682c9258360db304c6931e5394c67282344215abbeabf97d35ee9605,009a6b2e44a4a0daf98d3f15f9d85d87c1762a6ebd674e61c9529f0b37af4c7d
KR_7f8df551c38264fcbe,FAM_a03ea37d2b54b91f,KR,,대법원,supreme,high,2020-04-29,2015다224797,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_7f8df551c38264fcbe,False,[],7,ko,623,623,1207,low,[],low,pass,pass,pass,pass,True,b843e1620d665363f7774402dc0ea79fc909819d13af7d936fb1f9024303758b,0f0145425dc996598f993bd9816e8abf6d11e3b10cf02b354b72b45ae2d02dfd,0f0145425dc996598f993bd9816e8abf6d11e3b10cf02b354b72b45ae2d02dfd,c6e0f3abe82ecaac447b50ea9f2ae47e6be72457956abc0d5166ae547499790f
KR_4e2107bebbe71bff1d,FAM_45b68ecafbdf25b9,KR,,대법원,supreme,high,2014-04-24,2014다201087,general_negligence_personal_injury,general_negligence_personal_injury,"[""premises_liability""]","[""premises_liability""]",confirmatory,KR_4e2107bebbe71bff1d,False,[],7,ko,1187,1187,1350,low,[],low,pass,pass,pass,pass,True,866f52a78bd50a7ea18d7f50e13caf45bc8d87afd0a825b98961ef84afc07323,48bfd3b7e910c7e2012e4121e89af4eb7151cb9bd808456b433ede28ebd01634,48bfd3b7e910c7e2012e4121e89af4eb7151cb9bd808456b433ede28ebd01634,6ef5e1cd823b2fecc2d124facd5e6deb08acde9337f02ef4e92ec45a39afc396
KR_9ff8adb69f213e129e,FAM_5e9acaaa84c0cfa6,KR,,대법원,supreme,high,2004-05-14,2003다38207,general_negligence_personal_injury,general_negligence_personal_injury,[],[],development,KR_9ff8adb69f213e129e,False,[],7,ko,944,944,2221,low,[],low,pass,pass,pass,pass,True,b33c8bedde64cc5ddc2d41360b3d9eadb8b3c258eb786ab1f54d3da708dd8506,11e5c42d2133c823b533fa73e999e29bc233e85ee737de2a4e030c5dab70c677,11e5c42d2133c823b533fa73e999e29bc233e85ee737de2a4e030c5dab70c677,c851ae19a49e53af81a43238795ec40153cbb3dcdb2c4ba445160d66c0a01030
KR_55074ea924a215c67b,FAM_f0817529191c261f,KR,,대법원,supreme,high,2020-07-23,2018다276799,general_negligence_personal_injury,general_negligence_personal_injury,"[""intentional_misconduct""]","[""intentional_misconduct""]",confirmatory,KR_55074ea924a215c67b,False,[],7,ko,2193,2193,2200,low,[],low,pass,pass,pass,pass,True,70e6427475069355ea37fdd09dcb99dbfd50a3211adc5eeddc3820ea1ff2093a,ff4ab8c229b1b9415fcfe20fb65dfa8948f95fd44754c21372ca5f52851b20cc,ff4ab8c229b1b9415fcfe20fb65dfa8948f95fd44754c21372ca5f52851b20cc,40aa40e61b24dac3b679082b53bcc805560998f4915f84e44a333749d28200ea
KR_12b9dc4aa1ee6e184c,FAM_e22080c9f3dbef0d,KR,,대법원,supreme,high,2007-04-26,2005다24318,general_negligence_personal_injury,general_negligence_personal_injury,"[""negligent_supervision"",""comparative_fault""]","[""negligent_supervision"",""comparative_fault""]",confirmatory,KR_12b9dc4aa1ee6e184c,False,[],7,ko,1933,1933,1933,low,[],low,pass,pass,pass,pass,True,7aaa724e8f9016b591b49caa2ca4504f4bcde6ac0bc0d04b8b5bbd8d5891d8d7,51777e2e42f7a1ca687a966b35e65a72ab6dc7126b9662778078e66ad8e949f8,51777e2e42f7a1ca687a966b35e65a72ab6dc7126b9662778078e66ad8e949f8,51777e2e42f7a1ca687a966b35e65a72ab6dc7126b9662778078e66ad8e949f8
KR_13b881769bf8928779,FAM_a0d82c4a2db7ec56,KR,,대법원,supreme,high,2013-09-13,2013다37722,general_negligence_personal_injury,general_negligence_personal_injury,"[""negligent_supervision"",""comparative_fault""]","[""negligent_supervision"",""comparative_fault""]",development,KR_13b881769bf8928779,False,[],6,ko,1657,1657,1657,low,[],low,pass,pass,pass,pass,True,376ec68c236a7c85efb6541cb482cc7682004744660244b4977ce617a3797f33,59fa6dbf474e533ea5e70435d08029fbb85687c8067d80832b58f637be2892e5,59fa6dbf474e533ea5e70435d08029fbb85687c8067d80832b58f637be2892e5,59fa6dbf474e533ea5e70435d08029fbb85687c8067d80832b58f637be2892e5
KR_60ac72230335410754,FAM_35ef3c0d9a4c9778,KR,,대법원,supreme,high,2001-09-04,2001다9496,general_negligence_personal_injury,general_negligence_personal_injury,"[""comparative_fault""]","[""comparative_fault""]",confirmatory,KR_60ac72230335410754,False,[],6,ko,961,961,2361,low,[],low,pass,pass,pass,pass,True,9a12eebef4190f0ad998eddde87561c12c5019db1664cf6759ad8e8f6d0a1fe8,84ca32559801b9b5ab297e761884e0723de5833309a99183b8cc4206dae055f8,84ca32559801b9b5ab297e761884e0723de5833309a99183b8cc4206dae055f8,a98241c60b24ed399a9f9a17ef54eeab968de073c5a340bf551e710ee2321c24
KR_d4a866bf8f86262c7f,FAM_3184787821a30a91,KR,,대법원,supreme,high,2010-02-11,2008다61615,general_negligence_personal_injury,general_negligence_personal_injury,"[""premises_liability""]","[""premises_liability""]",confirmatory,KR_d4a866bf8f86262c7f,False,[],7,ko,1041,1041,1969,low,[],low,pass,pass,pass,pass,True,92ea33de10e0c119b6297131bdca4efc079d5b16f3ec774c4cd42199b8af30d9,057e4b5b3333778a2ad2e518d037ef9163437c05837bf734e4f23da96973c802,057e4b5b3333778a2ad2e518d037ef9163437c05837bf734e4f23da96973c802,0ac602a6057ec559653d639a7ddcbc50194b49f932c6171395df4c332d490858
KR_b9478acaee2bfa081a,FAM_8aa18531cef873cd,KR,,대법원,supreme,high,2017-03-15,2013다209695,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_b9478acaee2bfa081a,False,[],6,ko,832,832,1741,low,[],low,pass,pass,pass,pass,True,10fadf10f91a94290cb810a432de78978150e9a73aad45928b54392354ec9d5f,979850c43fdb7526e0357a9be398c564d7435be254e8acc3a8438f833d47b614,979850c43fdb7526e0357a9be398c564d7435be254e8acc3a8438f833d47b614,b0393f70bd3cc43a3212c48661455919f7d18a01064908216b482642a499936b
KR_a3d84a1ae8d86e74c5,FAM_082c8d1f07b833fe,KR,,대법원,supreme,high,2002-11-26,2002다47181,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_a3d84a1ae8d86e74c5,False,[],6,ko,1268,1268,2133,low,[],low,pass,pass,pass,pass,True,d8826639789d578336748a7d6f74ea0982cb7b7452395f2df854b3d0f10db2a5,a44ef8cb95658e5d945b92928320bec08711644eeb6fda1fb8b0f9c5c46499d9,a44ef8cb95658e5d945b92928320bec08711644eeb6fda1fb8b0f9c5c46499d9,094cc5a120b8124ef90c6c7d0fb1017fd1c46c64d8ec102a27eb9beed9742b0b
KR_86fdfbe3f16878dfcf,FAM_c334110d70e49142,KR,,대법원,supreme,high,2017-12-28,2017다37096,general_negligence_personal_injury,general_negligence_personal_injury,"[""comparative_fault""]","[""comparative_fault""]",confirmatory,KR_86fdfbe3f16878dfcf,False,[],6,ko,1641,1641,1641,low,[],low,pass,pass,pass,pass,True,62b02ef6cf30ba2389d133ad2e9318f78161b6fa8c13f27ff7e7588a2a5f99be,075e3dbc4294fc244285e94ad991488a03fc62aa9eba940a7e6aa0766906235e,075e3dbc4294fc244285e94ad991488a03fc62aa9eba940a7e6aa0766906235e,075e3dbc4294fc244285e94ad991488a03fc62aa9eba940a7e6aa0766906235e
KR_26b3a33d5ab3eb8be8,FAM_3fcd6f21eec76f25,KR,,대법원,supreme,high,2006-07-06,2004다8272,general_negligence_personal_injury,general_negligence_personal_injury,[],[],confirmatory,KR_26b3a33d5ab3eb8be8,False,[],7,ko,1736,1736,3560,low,[],low,pass,pass,pass,pass,True,55477d60855b08ebd9dc40727e33d2222554066a9fce9f3c3afa366671681cb3,f433e4212be79ba679d2be3ee829880444c86e401cd8f72e23858e30cea0581a,f433e4212be79ba679d2be3ee829880444c86e401cd8f72e23858e30cea0581a,df5014ba23a3c572d63a0991b0b2135ca76119ba3d67cbb8dda823ea4bcf5068
KR_80cd6399334ab774b2,FAM_1dff28ee1e2b15b8,KR,,대법원,supreme,high,2010-04-29,2009다98928,general_negligence_personal_injury,general_negligence_personal_injury,"[""comparative_fault""]","[""comparative_fault""]",confirmatory,KR_80cd6399334ab774b2,False,[],7,ko,609,609,1033,low,[],low,pass,pass,pass,pass,True,9f9f6a341b252848b17f9f5473d38a170430593f09cf7267226f2546d7aa1f0b,629775ef450d5ea648bd34947a5a27187c9e756d27e10932e2e522ad0f6357f9,629775ef450d5ea648bd34947a5a27187c9e756d27e10932e2e522ad0f6357f9,ba2853f184bbb38b050a3d98a4ce95eeed5d1b68bf26aba0279212bf00f8f9be
KR_df9ae8ebb4355cf9ab,FAM_9ca85e3e943cc194,KR,,대법원,supreme,high,2022-02-17,2019다217421,general_negligence_personal_injury,general_negligence_personal_injury,[],[],development,KR_df9ae8ebb4355cf9ab,False,[],6,ko,1116,1116,2296,low,[],low,pass,pass,pass,pass,True,4aac695b6cb4feb0db9ed1864ccc3a8f569dd84240bf2f98f6eca0621297b340,502352e5e45dbad4e8aef83f06301c1502309d26c5265f5de107aac2b8afa399,502352e5e45dbad4e8aef83f06301c1502309d26c5265f5de107aac2b8afa399,d29eb05838491751c885ae10bdbc00cb5d477a88a724f7ca6b19a81ad56540ce
KR_c9a36c832dbc482f8f,FAM_2a2fc11b652355ec,KR,,대법원,supreme,high,2008-09-11,2006다50338,general_negligence_personal_injury,general_negligence_personal_injury,"[""negligent_supervision"",""comparative_fault""]","[""negligent_supervision"",""comparative_fault""]",development,KR_c9a36c832dbc482f8f,False,[],7,ko,1228,1228,2500,low,[],low,pass,pass,pass,pass,True,20bcd1bf350f3f604ce93339536d410ee04365bf7dabe2997682b3df5daa81a9,501160447a748555743f7deb8380255886962ba4c97b63ed2adad4bce0c500c6,501160447a748555743f7deb8380255886962ba4c97b63ed2adad4bce0c500c6,d948b54bb8fab2e26cb5519ae704e6f618165ff462fc1e290bffa7481477b4e0
